Date,Open,High,Low,Close,SMA_14,EMA_14,RSI_14,ATR_14,STOCH_K,STOCH_D,High_pct_change,Low_pct_change,Close_pct_change,INDEX_FUTURES_Buy_Amount in Crore,INDEX_FUTURES_Buy_No. of Contracts,INDEX_FUTURES_OI_Amount in Crore,INDEX_FUTURES_OI_No. of Contracts,INDEX_FUTURES_Sell_Amount in crore,INDEX_FUTURES_Sell_No. of Contracts,INDEX_OPTIONS_Buy_Amount in Crore,INDEX_OPTIONS_Buy_No. of Contracts,INDEX_OPTIONS_OI_Amount in Crore,INDEX_OPTIONS_OI_No. of Contracts,INDEX_OPTIONS_Sell_Amount in crore,INDEX_OPTIONS_Sell_No. of Contracts,INTEREST_RATE_FUTURES_Buy_Amount in Crore,INTEREST_RATE_FUTURES_Buy_No. of Contracts,INTEREST_RATE_FUTURES_OI_Amount in Crore,INTEREST_RATE_FUTURES_OI_No. of Contracts,INTEREST_RATE_FUTURES_Sell_Amount in crore,INTEREST_RATE_FUTURES_Sell_No. of Contracts,STOCK_FUTURES_Buy_Amount in Crore,STOCK_FUTURES_Buy_No. of Contracts,STOCK_FUTURES_OI_Amount in Crore,STOCK_FUTURES_OI_No. of Contracts,STOCK_FUTURES_Sell_Amount in crore,STOCK_FUTURES_Sell_No. of Contracts,STOCK_OPTIONS_Buy_Amount in Crore,STOCK_OPTIONS_Buy_No. of Contracts,STOCK_OPTIONS_OI_Amount in Crore,STOCK_OPTIONS_OI_No. of Contracts,STOCK_OPTIONS_Sell_Amount in crore,STOCK_OPTIONS_Sell_No. of Contracts,P/E,P/B,Div Yield%,SPX_Close,SPX_High,SPX_Low,SPX_Open,SPX_Volume,VIX_Open,VIX_High,VIX_Low,VIX_Close,expiry,put_ratio,call_ratio,days_to_expiry
2023-01-16,18033.15,18049.65,17853.65,17894.85,18026.00357142857,18013.34986837008,39.65384100308871,210.4109920968852,26.44956314535296,28.110934604182862,0.0914981575598273,-0.9953890473932728,-0.7669209206378415,4816.34,50977.0,14573.68,153897.0,3308.6,34580.0,751322.94,7797494.0,191880.95,2045509.0,751017.07,7793289.0,0.0,0.0,20.84,1045.0,0.0,0.0,12179.01,175605.0,141838.88,2056840.0,11022.12,159817.0,14328.98,200843.0,11950.97,167283.0,14337.22,201518.0,21.34,4.19,1.38,,,,,,14.46,15.36,14.46,15.02,2023-01-19,-0.007383624047934,-0.0018382811655202,3.0
2023-01-17,17922.8,18072.05,17886.95,18053.3,18021.06071428571,18018.6765525874,46.81747641174664,208.60306408996468,57.91302621127853,41.02462271644121,0.8327381882295178,-0.2000245497355242,0.7281228379494276,3070.58,31537.0,15217.02,161355.0,4235.85,44165.0,975775.46,10209105.0,214652.08,2303333.0,978407.53,10244145.0,0.0,0.0,20.8,1045.0,0.0,0.0,9608.31,134773.0,141449.66,2060324.0,10381.99,144381.0,11936.41,161531.0,11996.45,168340.0,11902.1,160830.0,21.53,4.23,1.37,3990.969971,4015.389893,3984.570068,3999.280029,4235560000.0,15.02,15.31,13.84,14.59,2023-01-19,-0.0012721226594059,0.0043073626888656,2.0
2023-01-18,18074.3,18183.75,18032.45,18165.35,18019.22857142857,18038.233012242414,51.22677598942624,204.50998808353856,80.16282764098456,54.841805665872016,0.6055559551407287,-0.2315442368445724,0.5037539489772732,3802.33,39914.0,14615.66,153794.0,2313.88,23763.0,1381993.1,15388584.0,212020.5,2229936.0,1381498.9,15387448.0,0.0,0.0,20.79,1045.0,0.0,0.0,10323.71,145576.0,142775.94,2075298.0,9475.22,134628.0,12067.58,163048.0,12066.86,168877.0,11883.85,161157.0,21.67,4.26,1.36,3928.860107,4014.159912,3926.590088,4002.25,4298710000.0,14.59,14.75,12.47,14.37,2023-01-19,-0.0041108092706217,0.0069546261819268,1.0
2023-01-19,18119.8,18155.2,18063.75,18107.85,18019.41071428572,18047.51527727676,48.98247027051424,197.159274649,70.60983071588774,69.56189485605027,0.1953663947725772,-0.3093301250565639,-0.0659499552975238,3948.95,40969.0,14589.88,153662.0,2022.12,21011.0,911258.74,9138147.0,231901.12,2435516.0,918350.99,9201461.0,0.0,0.0,20.81,1045.0,0.0,0.0,12671.47,177174.0,145743.02,2109402.0,11936.27,167838.0,12597.69,171304.0,12674.5,176310.0,12681.12,172363.0,21.56,4.24,1.37,3898.850098,3922.939941,3885.540039,3911.840088,3991500000.0,14.37,14.83,13.89,13.96,2023-01-19,-0.0010927272927956,0.0044260974182939,0.0
2023-01-20,18115.6,18145.45,18016.2,18027.65,18007.28214285714,18044.86657363985,45.95807840796175,192.3086121740714,54.25249847032437,68.34171894239888,0.1647751109541068,-0.548698359425014,-0.4854931661109601,2528.56,25920.0,14532.38,153572.0,2911.14,30470.0,2001942.49,19904653.0,116325.99,1237855.0,1986502.25,19741532.0,0.0,0.0,20.83,1045.0,0.0,0.0,16287.16,241361.0,146824.55,2135645.0,16954.05,253928.0,13474.92,185804.0,13011.68,181253.0,13512.86,185659.0,21.46,4.23,1.36,3972.610107,3972.959961,3897.860107,3909.040039,4013360000.0,13.96,14.19,11.64,13.79,2023-01-25,-0.0008611362582524,-0.0008611362582524,5.0
2023-01-23,18118.45,18162.6,18063.45,18118.55,17999.139285714286,18054.69103048788,49.74552336620658,188.21156844735185,74.14563207645142,66.3359870875545,0.2436742657346396,-0.3035579754338809,0.0005519235916899,5112.24,52557.0,15323.53,162689.0,4085.67,42808.0,653922.33,6668643.0,193038.37,2062604.0,640422.47,6534964.0,0.0,0.0,20.78,1045.0,0.0,0.0,42994.48,627749.0,146979.41,2145684.0,41937.12,614470.0,15561.14,215208.0,13296.74,186624.0,15184.4,210223.0,21.6,4.25,1.35,4019.810059,4039.310059,3971.639893,3978.139893,3945210000.0,13.79,14.26,13.48,13.62,2023-01-25,-0.0010182990266828,-0.0010182990266828,2.0
2023-01-24,18183.95,18201.25,18078.65,18118.3,18004.52142857143,18063.172226422823,49.73519955103598,183.52502784396944,81.13057324840742,69.84290126506107,0.0951388449704232,-0.5790821026234634,-0.3610326689195772,4395.17,45660.0,14505.09,152579.0,3536.66,36524.0,850768.63,8696067.0,223921.36,2372248.0,844372.78,8627493.0,20.46,1030.0,20.76,1045.0,20.43,1030.0,64097.57,930644.0,148648.08,2159625.0,61857.59,894981.0,15962.35,220449.0,13210.25,184681.0,16037.0,221310.0,21.49,4.25,1.36,4016.949951,4023.919922,3989.790039,4001.73999,3320430000.0,13.62,13.81,13.3,13.66,2023-01-25,-0.004616708690906,-0.004616708690906,1.0
2023-01-25,18093.35,18100.6,17846.15,17891.95,17997.364285714288,18040.34259623312,41.36486204084356,189.85538299797147,29.640582347588648,61.63892922414916,0.0400699704587597,-1.3662478203317634,-1.113116144881947,4651.01,48081.0,14281.85,149813.0,4175.71,42333.0,1217251.92,13080651.0,230822.81,2408499.0,1206600.59,12967232.0,0.0,0.0,20.77,1045.0,0.0,0.0,39956.48,577208.0,149443.39,2171188.0,38679.26,556583.0,13644.76,183049.0,11618.27,163428.0,13640.59,182790.0,21.19,4.19,1.37,4016.219971,4019.550049,3949.060059,3982.709961,3724020000.0,13.66,15.42,13.52,14.66,2023-01-25,-0.0106862466044153,0.0003675383497252,0.0
2023-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4060.429932,4061.570068,4013.290039,4036.080078,3809590000.0,,,,,,,,
2023-01-27,17877.2,17884.75,17493.55,17604.35,17979.14285714286,17982.210250068703,33.6220841354083,204.75142706954503,15.656351561395953,42.142502385797336,0.0422325643836801,-2.146029579576228,-1.5262457208064024,5604.28,59412.0,9637.1,100259.0,9220.01,98789.0,2966406.25,29284191.0,136976.25,1452357.0,2943370.87,29076371.0,0.0,0.0,20.46,1030.0,0.0,0.0,29380.66,427279.0,139415.24,2063131.0,29949.28,435342.0,8108.76,111716.0,2953.63,41463.0,7827.2,107809.0,20.7,4.13,1.4,4070.560059,4094.209961,4048.699951,4053.719971,3907760000.0,14.66,18.01,14.58,17.32,2023-02-02,-0.0099120667666078,0.0068690846441277,6.0
2023-01-30,17541.95,17709.15,17405.55,17648.95,17946.839285714286,17937.775550059545,35.6341913221668,211.81203942172056,30.58941812240809,25.2954506771309,0.9531437496971584,-0.7775646379108448,0.6099663948420786,4698.02,50364.0,11090.82,119238.0,7770.89,84923.0,882311.26,9325382.0,201809.51,2191402.0,876123.61,9269280.0,0.0,0.0,20.4,1030.0,0.0,0.0,19019.74,283875.0,140679.17,2128963.0,20323.1,299699.0,16845.03,236527.0,7409.58,113520.0,16312.05,225312.0,20.73,4.14,1.39,4017.77002,4063.850098,4015.550049,4049.27002,3802000000.0,17.32,19.39,17.29,17.71,2023-02-02,-0.0023914103050117,0.0261116922577022,3.0
2023-01-31,17731.45,17735.7,17537.55,17662.15,17928.839285714286,17901.025476718274,36.250120283720456,210.83617946302635,32.24833479954781,26.16470149445062,0.0239687109627244,-1.093537189569953,-0.3908309811098318,4874.06,51512.0,11118.43,119479.0,6481.46,68527.0,1073373.23,11786982.0,206589.48,2234313.0,1067019.28,11712715.0,0.0,0.0,20.4,1030.0,0.0,0.0,16517.08,247901.0,142455.19,2145177.0,15962.56,236479.0,14466.58,202621.0,9592.88,148168.0,14232.72,195135.0,20.73,4.14,1.39,4076.600098,4077.159912,4020.439941,4020.850098,4679320000.0,17.71,18.37,16.57,16.88,2023-02-02,-0.0130530780054649,0.0151454054800932,2.0
2023-02-01,17811.6,17972.2,17353.4,17616.3,17908.882142857143,17863.062079822503,34.99738006202121,239.9764523585244,31.00784336852017,31.28186543015869,0.9016595926250432,-2.572480855173017,-1.0964764535471228,6970.35,72460.0,13514.94,144462.0,8586.18,90439.0,1178326.25,13560386.0,208588.79,2241788.0,1182294.95,13589522.0,0.0,0.0,20.46,1030.0,0.0,0.0,14762.81,217396.0,143192.11,2131247.0,15011.07,223184.0,11901.12,167785.0,11015.62,167923.0,11324.59,157440.0,20.68,4.13,1.4,4119.209961,4148.950195,4037.199951,4070.070068,4856930000.0,16.88,18.54,14.85,16.78,2023-02-02,-0.0006512609759931,0.0105773765411305,1.0
2023-02-02,17517.1,17653.9,17445.95,17610.4,17891.182142857142,17829.373802512837,34.83057486903101,237.68884861862983,30.3119655599458,31.18938124267126,0.7809511848422566,-0.4061745380228337,0.5326224089604039,11101.68,116661.0,12692.25,137946.0,10304.82,108835.0,1628872.44,16591701.0,205384.79,2221810.0,1642981.25,16736627.0,0.0,0.0,20.56,1030.0,0.0,0.0,24184.4,360215.0,142994.86,2174907.0,23940.76,355563.0,22574.39,317607.0,11583.46,187127.0,22910.51,320571.0,20.59,4.13,1.4,4179.759766,4195.439941,4141.879883,4158.680176,5624360000.0,16.78,17.77,15.51,15.73,2023-02-02,-0.0009761889810526,0.0275673484766314,0.0
2023-02-03,17721.75,17870.3,17584.2,17854.05,17883.85714285714,17832.663962177794,46.22848857317526,241.1467880030133,59.04936014625213,40.12305635823936,0.8382355015729217,-0.7761648821363537,0.7465402683143554,4453.19,47169.0,15527.05,168463.0,6917.29,74064.0,2656615.66,27341144.0,146301.22,1597506.0,2638483.81,27155284.0,0.0,0.0,20.55,1030.0,0.0,0.0,16595.15,265974.0,143453.55,2193507.0,16917.66,270340.0,17378.22,266918.0,13437.07,229394.0,17299.52,253937.0,20.86,4.18,1.38,4136.47998,4182.359863,4123.359863,4136.689941,4694510000.0,15.73,15.76,14.27,14.4,2023-02-09,-0.006870089014911,0.0157010453256591,6.0
2023-02-06,17818.55,17823.7,17698.35,17764.6,17874.553571428572,17823.588767220757,43.23862120188533,235.0434460027981,48.49914489591293,45.95349020070362,0.0289024640052162,-0.6745778977526271,-0.3027743559380574,6653.23,69796.0,13048.82,140199.0,4309.13,44866.0,866318.02,9054781.0,169558.49,1819723.0,881991.51,9216406.0,0.0,0.0,20.55,1030.0,0.0,0.0,15752.26,245266.0,143787.14,2174838.0,14710.32,237849.0,18265.77,270051.0,15422.37,258138.0,18493.27,269119.0,20.71,4.16,1.39,4111.080078,4124.629883,4093.379883,4119.569824,4114240000.0,14.4,15.21,14.19,14.69,2023-02-09,-0.012265307783181,0.0101832079490193,3.0
2023-02-07,17790.1,17811.15,17652.55,17721.5,17850.85357142857,17809.97693159132,41.834644438675255,229.58319985974128,43.41569853157978,50.32140119124828,0.1183242365135829,-0.7731828376456528,-0.385607725645154,3131.32,32580.0,14898.27,160968.0,5323.01,56203.0,818786.55,8611863.0,198198.11,2145485.0,817259.21,8597443.0,0.0,0.0,20.51,1030.0,0.0,0.0,11842.24,179722.0,144412.77,2178350.0,11907.74,183172.0,10493.38,148738.0,16204.11,266363.0,10458.91,149921.0,20.5,4.15,1.39,4164.0,4176.540039,4088.389893,4105.350098,4355860000.0,14.69,14.88,13.67,14.13,2023-02-09,-0.0050646145890128,0.0005564892833656,2.0
2023-02-08,17750.3,17898.7,17744.15,17871.7,17829.878571428573,17818.20667404581,48.152805471585445,225.84154272690265,61.131096302412,51.01531324330157,0.8360422077373423,-0.034647301735733,0.6839321025560213,7563.67,77563.0,15026.19,162530.0,7474.29,76851.0,1319233.82,14959068.0,211427.72,2262134.0,1307837.62,14839610.0,0.0,0.0,20.52,1030.0,0.0,0.0,10876.19,167134.0,143615.6,2165607.0,11115.95,172907.0,13257.97,191534.0,15533.76,247780.0,14196.05,213945.0,21.1,4.19,1.42,4117.859863,4156.850098,4111.669922,4153.470215,4029820000.0,14.13,14.25,13.54,13.6,2023-02-09,0.0027999526768562,0.0140673678754725,1.0
2023-02-09,17885.5,17916.9,17779.8,17893.45,17814.564285714285,17828.23911750637,49.01644093005253,219.5028611035526,63.69640856283543,56.0810677989424,0.175561208800433,-0.5909815213441096,0.0444494143300479,4074.09,43865.0,14519.83,156066.0,2808.57,29869.0,1017681.83,10297441.0,238749.4,2516150.0,1024574.42,10375557.0,0.0,0.0,20.47,1030.0,0.0,0.0,11647.52,182133.0,144884.97,2162229.0,9723.3,150951.0,13580.14,198968.0,14942.09,227550.0,14185.04,217696.0,21.11,4.19,1.41,4081.5,4156.22998,4069.669922,4144.25,4270200000.0,13.6,13.82,12.06,13.04,2023-02-09,-0.0047804087109669,0.0008107125884095,0.0
2023-02-10,17847.55,17876.95,17801.0,17856.5,17802.339285714286,17832.00723517219,47.5668370516416,210.4276567390132,59.33832635489761,61.38861040671501,0.164728492145989,-0.2608201125644656,0.0501469389356002,4424.15,45834.0,14401.6,154310.0,4320.15,44204.0,2176025.59,21863371.0,144716.75,1551108.0,2169225.07,21800058.0,0.0,0.0,20.48,1030.0,0.0,0.0,10874.93,161043.0,145022.38,2168929.0,10875.1,163515.0,11718.64,169092.0,14935.65,228822.0,11801.83,171892.0,21.06,4.18,1.41,4090.459961,4094.360107,4060.790039,4068.919922,3891520000.0,13.04,13.28,12.21,12.75,2023-02-16,-0.002664231225014,0.0085417886488621,6.0
2023-02-13,17859.1,17880.7,17719.75,17770.9,17777.507142857143,17823.859603815898,44.298403582841786,206.8935384005123,49.24220086100144,57.42564525957816,0.1209467442368438,-0.7802744819167738,-0.4938658723003796,3916.55,41118.0,15186.03,163618.0,4837.48,51604.0,555276.34,5724779.0,187609.31,2011557.0,557810.49,5749572.0,0.0,0.0,20.46,1030.0,0.0,0.0,9891.99,151611.0,144812.42,2169375.0,10478.65,159227.0,11336.0,162239.0,15238.92,232711.0,11474.77,165656.0,21.05,4.16,1.42,4137.290039,4138.899902,4092.669922,4096.620117,3448620000.0,12.75,14.1,11.83,13.68,2023-02-16,-0.003309237307591,-0.003309237307591,3.0
2023-02-14,17840.35,17954.55,17800.05,17929.85,17764.04642857143,17837.991656640446,51.02753200952164,205.2332856576184,77.14801927194851,61.9095154959492,0.6401219707012515,-0.2258924292404536,0.5016717721345153,2665.94,28518.0,15069.94,162987.0,2576.87,27475.0,867372.31,9072691.0,229856.61,2461422.0,855716.34,8959334.0,0.0,0.0,20.45,1030.0,0.0,0.0,9449.58,145286.0,144416.86,2187268.0,10761.41,167695.0,13078.57,185649.0,15231.35,235534.0,13169.03,188700.0,21.21,4.2,1.35,4136.129883,4159.77002,4095.01001,4126.700195,3929200000.0,13.68,13.68,12.45,13.45,2023-02-16,-0.0022617269280029,0.0089488154660644,2.0
2023-02-15,17896.6,18034.1,17853.8,18015.85,17772.89642857143,17861.706102421722,54.24803376387579,203.4523366820742,97.3189363890113,74.56971884065375,0.7683023591073165,-0.2391515706894006,0.6663276823530727,7179.73,75724.0,12810.66,136231.0,3406.21,34647.0,1235625.77,13784629.0,210554.37,2215059.0,1249334.86,13908132.0,0.0,0.0,20.44,1030.0,0.0,0.0,11294.62,172212.0,145917.49,2200199.0,9300.36,142034.0,14704.23,209884.0,15270.89,234382.0,14453.11,207091.0,21.31,4.22,1.41,4147.600098,4148.109863,4103.97998,4119.5,4075980000.0,13.45,13.45,11.28,12.86,2023-02-16,0.0001899802197065,0.0057776337404871,1.0
