Ticker_x,Date,Open,High,Low,Close,SMA_14,EMA_14,RSI_14,ATR_14,STOCH_K,STOCH_D,High_pct_change,Low_pct_change,Close_pct_change,INDEX_FUTURES_Buy_Amount in Crore,INDEX_FUTURES_Buy_No. of Contracts,INDEX_FUTURES_OI_Amount in Crore,INDEX_FUTURES_OI_No. of Contracts,INDEX_FUTURES_Sell_Amount in crore,INDEX_FUTURES_Sell_No. of Contracts,INDEX_OPTIONS_Buy_Amount in Crore,INDEX_OPTIONS_Buy_No. of Contracts,INDEX_OPTIONS_OI_Amount in Crore,INDEX_OPTIONS_OI_No. of Contracts,INDEX_OPTIONS_Sell_Amount in crore,INDEX_OPTIONS_Sell_No. of Contracts,INTEREST_RATE_FUTURES_Buy_Amount in Crore,INTEREST_RATE_FUTURES_Buy_No. of Contracts,INTEREST_RATE_FUTURES_OI_Amount in Crore,INTEREST_RATE_FUTURES_OI_No. of Contracts,INTEREST_RATE_FUTURES_Sell_Amount in crore,INTEREST_RATE_FUTURES_Sell_No. of Contracts,STOCK_FUTURES_Buy_Amount in Crore,STOCK_FUTURES_Buy_No. of Contracts,STOCK_FUTURES_OI_Amount in Crore,STOCK_FUTURES_OI_No. of Contracts,STOCK_FUTURES_Sell_Amount in crore,STOCK_FUTURES_Sell_No. of Contracts,STOCK_OPTIONS_Buy_Amount in Crore,STOCK_OPTIONS_Buy_No. of Contracts,STOCK_OPTIONS_OI_Amount in Crore,STOCK_OPTIONS_OI_No. of Contracts,STOCK_OPTIONS_Sell_Amount in crore,STOCK_OPTIONS_Sell_No. of Contracts,P/E,P/B,Div Yield%,SPX_Close,SPX_High,SPX_Low,SPX_Open,SPX_Volume,Ticker_y,VIX_Open,VIX_High,VIX_Low,VIX_Close,expiry,put_ratio,call_ratio,days_to_expiry
NIFTY,2025-01-15,23250.45,23293.65,23146.45,23213.2,23606.10714285714,23555.96409113698,36.022756572546506,272.49987630975784,14.07011742761462,9.423884013735227,0.1858028554286077,-0.4473031704762704,-0.1602119528869333,3412.07,53398.0,30606.19,441589.0,3870.15,53025.0,1899501.08,13152373.0,576720.82,5502748.0,1892107.75,13069432.0,0.0,0.0,0.13,657.0,0.0,0.0,30958.01,500971.0,338994.32,5521306.0,26999.45,431535.0,85997.15,1351096.0,89042.0,1464600.0,84588.36,1328393.0,21.37,3.46,1.3,5949.910156,5960.609863,5905.209961,5905.209961,4544570000.0,INDIA VIX,15.47,15.66,15.2,15.26,2025-01-16,-0.0021698504760123,0.002131141547798,1.0
NIFTY,2025-01-16,23377.25,23391.65,23272.05,23311.8,23570.27857142857,23523.408878985385,39.04392272656026,265.78202800191804,22.429946161346315,15.806802605734278,0.0615983488220447,-0.4500101594498956,-0.2799730507223935,2317.56,35638.0,30829.01,442706.0,2130.92,31005.0,1445985.08,9587421.0,613804.13,5712833.0,1514719.82,9971147.0,0.0,0.0,0.13,657.0,0.0,0.0,24990.63,413830.0,343178.66,5585017.0,23326.28,384165.0,81376.35,1292674.0,92142.16,1510033.0,81516.75,1293775.0,21.46,3.48,1.29,5937.339844,5964.689941,5930.720215,5963.609863,4285810000.0,INDIA VIX,15.26,15.57,13.96,15.47,2025-01-16,-0.0033044947545156,-0.0033044947545156,0.0
NIFTY,2025-01-17,23277.1,23292.1,23100.35,23203.2,23538.72857142857,23480.714361787337,36.97296623607192,261.90116885892394,13.222264614862912,16.574109401274615,0.0644410171370145,-0.7593299852644875,-0.3174794110950153,2815.95,43462.0,31854.76,448836.0,3696.92,50754.0,2437269.06,15371682.0,380492.59,4360298.0,2413397.31,15155714.0,0.0,0.0,0.13,657.0,0.0,0.0,25043.77,399042.0,341293.53,5519097.0,29675.49,467758.0,80976.0,1260149.0,96952.51,1569503.0,81427.21,1263451.0,21.36,3.46,1.39,5996.660156,6014.959961,5978.439941,5995.399902,4366830000.0,INDIA VIX,15.47,16.38,14.05,15.75,2025-01-23,-0.0033122682808425,0.0224641385739632,6.0
NIFTY,2025-01-20,23290.4,23391.1,23170.65,23344.75,23517.29642857143,23462.58578021569,41.34035350151577,258.9403710832863,25.22362117936325,20.291943985190823,0.4323669838216479,-0.5141603407412496,0.2333579500566694,2317.56,34281.0,34023.86,478666.0,4724.15,63623.0,1062407.33,7952739.0,453061.12,4965614.0,1076866.58,8092725.0,0.0,0.0,0.13,657.0,0.0,0.0,23733.87,375303.0,341337.48,5519409.0,24578.94,383327.0,91697.77,1392038.0,101477.24,1635433.0,92546.73,1402490.0,21.4,3.48,1.34,,,,,,INDIA VIX,15.75,17.02,15.18,16.42,2025-01-23,-0.0038814275409611,0.008999416068423,3.0
NIFTY,2025-01-21,23421.65,23426.3,22976.85,23024.65,23465.992857142857,23404.1943428536,35.371289781115294,272.54820172019447,3.824458935072435,14.090114909766196,0.0198534262103558,-1.899097629757096,-1.6950129474225768,2563.33,35974.0,36134.86,505985.0,2861.05,42275.0,1160710.96,8596748.0,536970.12,5542500.0,1164323.33,8632021.0,0.0,0.0,0.13,657.0,0.0,0.0,23964.53,371829.0,346618.16,5572326.0,23352.82,371408.0,94652.15,1413788.0,105571.26,1687887.0,95464.37,1427082.0,21.07,3.43,1.36,6049.240234,6051.509766,6006.879883,6014.120117,4702920000.0,INDIA VIX,16.42,17.45,15.2,17.06,2025-01-23,-0.0180025745410763,0.0033451955775958,2.0
NIFTY,2025-01-22,23099.15,23169.55,22981.3,23155.35,23392.185714285715,23371.01509713979,39.229613179299214,266.52690159732344,14.63594621187272,14.561342108769464,0.3047731193571963,-0.5101919334694228,0.243298995850484,3872.36,58563.0,38554.12,532440.0,6302.96,75418.0,2995531.97,20722556.0,536479.05,5797860.0,2970052.47,20563484.0,0.0,0.0,0.13,657.0,0.0,0.0,27668.15,443381.0,343328.31,5611445.0,33125.88,525352.0,128147.05,1969516.0,107629.12,1755409.0,129566.56,1995926.0,21.19,3.45,1.35,6086.370117,6100.810059,6076.129883,6081.390137,4323040000.0,INDIA VIX,17.06,17.3,15.91,16.77,2025-01-23,-0.0042923657364015,3.679789083133045e-05,1.0
NIFTY,2025-01-23,23128.3,23270.8,23090.65,23205.35,23335.08571428572,23348.92641752115,40.688400152906254,260.3571229118002,20.528254424579963,12.996219857175037,0.6161282930435873,-0.1627875805830857,0.3331416489754944,4359.05,64024.0,40224.09,539935.0,5327.13,64343.0,1676697.39,12744041.0,625451.86,6643833.0,1722770.12,13011808.0,0.0,0.0,0.13,657.0,0.0,0.0,29520.49,471108.0,347226.9,5683510.0,27739.96,447005.0,117172.27,1795637.0,111405.22,1826141.0,118759.36,1826051.0,21.24,3.46,1.35,6118.709961,6118.72998,6074.669922,6076.319824,4432250000.0,INDIA VIX,16.77,17.08,15.67,16.7,2025-01-23,0.0031000981481561,0.0052619518079581,0.0
NIFTY,2025-01-24,23183.9,23347.3,23050.0,23092.2,23297.667857142857,23314.69622851833,38.43961413357573,262.9958998466716,14.095435938168494,16.419878858207056,0.7047994513433797,-0.5775559763456599,-0.3955331070268623,3772.23,55949.0,40261.46,526137.0,3054.46,34133.0,2569365.59,17940973.0,430777.85,5942466.0,2570072.44,17840669.0,0.0,0.0,0.13,657.0,0.0,0.0,32174.37,514879.0,349243.27,5670544.0,30052.69,477673.0,112148.45,1722695.0,114548.45,1859005.0,111769.95,1712377.0,21.09,3.44,1.35,6101.240234,6128.180176,6088.740234,6121.430176,4214250000.0,INDIA VIX,16.7,17.31,16.12,16.75,2025-01-30,-0.0079322288312148,0.0136344618463675,6.0
NIFTY,2025-01-27,22940.15,23007.45,22786.9,22829.15,23234.9,23249.95673138255,33.76720310902752,266.01762128619504,4.378465205451072,13.000718522733171,0.2933721008798951,-0.668042711141819,-0.4838678038286584,5897.25,84911.0,40890.99,521285.0,5593.96,66033.0,1126092.05,17390734.0,505570.92,6991426.0,1155172.3,17826244.0,0.0,0.0,0.13,657.0,0.0,0.0,33574.74,541201.0,345806.53,5686123.0,33386.41,536634.0,123492.84,1920684.0,115042.61,1895331.0,123160.64,1922196.0,20.85,3.4,1.37,6012.279785,6017.169922,5962.919922,5969.040039,5198750000.0,INDIA VIX,16.75,18.52,16.75,18.13,2025-01-30,0.0026089628882111,0.0026089628882111,3.0
NIFTY,2025-01-28,22960.45,23137.95,22857.65,22957.25,23182.63571428572,23210.92916719821,37.736306458005394,269.0735054800382,18.87325504099256,12.449052061537373,0.7730684720900505,-0.4477264165118683,-0.0139370090743026,7607.84,108572.0,41984.33,497849.0,7642.08,70140.0,1126243.95,17018105.0,573141.05,7942142.0,1136394.27,17230644.0,0.0,0.0,0.13,657.0,0.0,0.0,123114.73,2051579.0,341759.97,5727346.0,120163.9,2012432.0,124385.66,1974343.0,114478.19,1931285.0,123720.25,1964061.0,20.85,3.42,1.38,6067.700195,6074.540039,5994.629883,6026.970215,4473640000.0,INDIA VIX,18.13,18.5,16.83,18.2,2025-01-30,0.0017225272152767,0.0017225272152767,2.0
NIFTY,2025-01-29,23026.75,23183.35,22976.5,23163.1,23156.67857142857,23204.55194490512,43.58672638467036,266.00396937432106,46.46165246387532,23.237790903439645,0.6800786042320281,-0.2182244563388233,0.5921374054089202,10423.32,133933.0,45393.37,471698.0,10912.72,99435.0,2764156.82,39028180.0,559617.81,7617066.0,2748475.24,38728359.0,13.05,635.0,0.13,657.0,13.05,635.0,140055.32,2333918.0,348496.61,5802695.0,137539.42,2292041.0,130961.39,2074045.0,116487.13,1970156.0,130734.74,2071126.0,21.06,3.45,1.38,6039.310059,6062.830078,6012.959961,6057.700195,4115310000.0,INDIA VIX,18.2,19.01,17.29,18.64,2025-01-30,-0.0011616923795151,-0.0011616923795151,1.0
NIFTY,2025-01-30,23169.5,23322.05,23139.2,23249.5,23143.67857142857,23210.545018917768,45.885079425098894,260.064400133298,72.3490772599312,45.89466158826636,0.658408683830032,-0.1307753727961297,0.345281512333024,7536.88,91981.0,45573.26,445500.0,7371.1,79485.0,1264309.09,19517911.0,623873.78,8311557.0,1241889.55,19104900.0,0.0,0.0,0.13,657.0,0.0,0.0,96099.99,1602696.0,354816.37,5822256.0,93231.91,1559265.0,89504.0,1420429.0,120124.72,1997859.0,85158.29,1350212.0,21.12,3.47,1.37,6071.169922,6086.640137,6027.459961,6050.75,4634620000.0,INDIA VIX,18.64,18.99,17.22,17.39,2025-01-30,-0.0073156520425559,0.003474395217851,0.0
NIFTY,2025-01-31,23296.75,23546.8,23277.4,23508.4,23173.85357142857,23250.2590163954,52.1730578589066,262.7240858380624,94.94670351362048,71.252477745809,1.0733256784744625,-0.0830587957547664,0.908495820232442,7559.86,89148.0,36425.05,222463.0,11707.98,84445.0,3492615.15,54078834.0,270537.01,1600059.0,3528076.17,54610877.0,0.0,0.0,0.13,635.0,0.0,0.0,67708.26,1089045.0,350815.79,5697056.0,67346.58,1111620.0,43453.3,675560.0,20580.29,344100.0,48272.74,745010.0,21.33,3.51,1.38,6040.529785,6120.910156,6030.930176,6096.790039,4843770000.0,INDIA VIX,17.39,17.94,16.11,16.25,2025-02-06,-0.0127378282378443,0.0087243928874198,6.0
NIFTY,2025-02-01,23528.6,23632.45,23318.3,23482.15,23195.717857142856,23281.17781420935,51.51940554617614,266.39736542105805,82.22458754656739,83.17345610670637,0.4413777275316092,-0.8938058363013492,-0.1974193109662159,3428.72,20912.0,37726.05,228543.0,3638.07,22146.0,602695.19,3562295.0,411515.26,2410988.0,656785.63,3877796.0,0.0,0.0,0.13,635.0,0.0,0.0,26807.65,444647.0,350765.06,5618074.0,22615.08,372423.0,61810.13,979354.0,33647.45,558863.0,64441.58,1032645.0,21.29,3.5,1.38,,,,,,INDIA VIX,16.25,16.58,14.01,14.1,2025-02-06,-0.0139659818263729,0.020035191214097,5.0
NIFTY,2025-02-03,23319.35,23381.6,23222.0,23361.05,23206.27857142857,23291.82743898144,48.50052146391264,265.95112503383973,67.90254863698165,81.69127989905651,0.2669456910248356,-0.4174644662050981,0.1788214508551942,4179.17,24944.0,37712.99,230120.0,4013.74,24953.0,1009229.47,5928857.0,491773.83,2888209.0,1016458.34,5997243.0,0.0,0.0,0.0,0.0,0.0,0.0,11037.79,177438.0,354227.13,5677260.0,10109.6,171448.0,58473.4,935546.0,39063.19,649023.0,60228.79,964850.0,21.22,3.48,1.39,5994.569824,6022.129883,5923.930176,5969.649902,4797210000.0,INDIA VIX,14.1,15.11,14.1,14.35,2025-02-06,-0.0008297829913783,0.0077467853949617,3.0
NIFTY,2025-02-04,23509.9,23762.75,23423.15,23739.25,23236.81071428571,23351.48378045058,56.97900383240631,275.64747324570834,97.59184300865913,82.5729930640694,1.0755043619921756,-0.3689934878497994,0.9755464719118266,3067.86,18954.0,38024.99,232951.0,4735.15,28819.0,1197712.71,7127726.0,552098.9,3281690.0,1205439.69,7168028.0,0.0,0.0,0.13,635.0,0.0,0.0,30301.63,497118.0,350307.77,5661969.0,31813.82,536209.0,68007.72,1046243.0,47619.2,801922.0,70305.93,1093826.0,21.56,3.54,1.37,6037.879883,6042.47998,5990.870117,5998.140137,4410160000.0,INDIA VIX,14.35,15.13,13.67,14.02,2025-02-06,-0.0004210991965087,0.0208465369907995,2.0
NIFTY,2025-02-05,23801.75,23807.3,23680.45,23696.3,23272.032142857144,23397.459276390506,55.85440139976777,265.0190822995862,89.12191297530379,84.87210154031486,0.0233176132007069,-0.5096263930173172,-0.4430346508134937,10111.11,59338.0,38244.91,230822.0,4757.61,28625.0,2722858.56,16618804.0,503337.07,2913201.0,2685989.28,16377311.0,0.0,0.0,0.13,635.0,0.0,0.0,34689.78,566185.0,349724.17,5581180.0,27216.05,443642.0,71310.12,1127861.0,54362.63,901579.0,73301.04,1162738.0,21.52,3.53,1.37,6061.47998,6062.859863,6007.060059,6020.450195,4756250000.0,INDIA VIX,14.02,14.3,13.5,14.08,2025-02-06,-0.0126776392492148,0.0083292194901636,1.0
NIFTY,2025-02-06,23761.95,23773.55,23556.25,23603.35,23290.50357142857,23424.91137287177,53.39810419402868,261.6105764210443,80.0127401019207,88.90883202862786,0.0488175423313261,-0.8656696946168169,-0.6674536391163275,2938.94,17680.0,38817.25,233700.0,2305.8,13624.0,1256176.87,7146838.0,578463.24,3349551.0,1268151.84,7230374.0,0.0,0.0,0.13,635.0,0.0,0.0,21731.9,357067.0,351251.29,5579634.0,24370.49,394289.0,65549.31,1039556.0,59931.59,985448.0,66520.1,1053451.0,21.45,3.52,1.38,6083.569824,6084.029785,6046.830078,6072.220215,4847120000.0,INDIA VIX,14.08,14.64,13.15,14.18,2025-02-06,-0.0089197224975223,-0.006815518086689,0.0
NIFTY,2025-02-07,23649.5,23694.5,23443.2,23559.95,23328.739285714288,23442.91652315554,52.24285562592051,260.87410667668394,75.7595060760487,81.6313863844244,0.1902788642466014,-0.8723228820905273,-0.3786549398507337,2082.05,12798.0,38571.23,233041.0,3303.58,19585.0,2131336.71,12112890.0,353089.7,2103114.0,2114385.26,12004649.0,0.0,0.0,0.13,635.0,0.0,0.0,22489.55,354092.0,355776.52,5686446.0,28950.42,457542.0,63379.8,997371.0,65795.19,1091418.0,64924.46,1024047.0,21.41,3.51,1.41,6025.990234,6101.279785,6019.959961,6083.129883,4766900000.0,INDIA VIX,14.18,14.51,13.55,13.69,2025-02-13,-0.0020930675067125,0.0148206093152074,6.0
NIFTY,2025-02-10,23543.8,23568.6,23316.3,23381.6,23344.9,23434.740986734803,47.677917016433724,260.2616704854922,58.28106624852983,71.35110414216642,0.10533558728837,-0.9662841172622942,-0.6889287200876695,3072.54,19036.0,39491.42,238944.0,4155.44,25369.0,790833.88,4586557.0,380963.47,2268336.0,784626.35,4557280.0,0.0,0.0,0.13,635.0,0.0,0.0,22610.9,360132.0,358225.55,5726971.0,22128.06,357921.0,46681.58,709402.0,67062.49,1109740.0,46673.34,708932.0,20.82,3.48,1.36,6066.439941,6073.379883,6044.839844,6046.399902,4458760000.0,INDIA VIX,13.69,14.72,13.69,14.45,2025-02-13,-0.0018603623883994,0.0193766511778048,3.0
NIFTY,2025-02-11,23383.55,23390.05,22986.65,23071.8,23335.360714285714,23386.348855170167,40.97955978094073,270.48583687938543,27.92042336338676,53.98699856265509,0.0277973190554898,-1.697347066634441,-1.333202187007533,1977.4,12027.0,40477.9,246884.0,3792.05,23045.0,767292.21,4478931.0,402883.83,2408927.0,761289.39,4448007.0,0.0,0.0,0.13,635.0,0.0,0.0,15783.11,256973.0,353600.24,5730302.0,17780.16,291566.0,60924.91,946896.0,70364.5,1183607.0,62738.49,980137.0,20.53,3.43,1.38,6068.5,6076.279785,6042.339844,6049.319824,4324880000.0,INDIA VIX,14.45,15.43,13.85,14.87,2025-02-13,-0.016402556498051,0.0049799966215566,2.0
NIFTY,2025-02-12,23050.8,23144.7,22798.35,23045.25,23332.007142857143,23340.869007814144,40.45500471740061,275.9047056737152,25.31850254802029,37.17333071997896,0.4073611328023386,-1.0951897548024396,-0.0240772554531698,2895.48,17729.0,41568.65,257960.0,4579.98,28691.0,2888999.29,18091205.0,400101.55,2406424.0,2890828.17,18109210.0,0.0,0.0,0.13,635.0,0.0,0.0,21028.08,341727.0,348717.29,5759709.0,21814.09,356942.0,76758.85,1198483.0,74551.13,1280764.0,78482.66,1234956.0,20.52,3.43,1.45,6051.970215,6063.0,6003.0,6025.080078,4627960000.0,INDIA VIX,14.87,15.62,14.61,14.9,2025-02-13,-0.0152185607440956,0.0194873930622798,1.0
NIFTY,2025-02-13,23055.75,23235.5,22992.2,23031.4,23346.45357142857,23299.60647343893,40.16616686024793,273.57579812559266,23.098270479211333,25.445732130206125,0.779631979007406,-0.2756362295739643,-0.1056135671144879,4992.67,31233.0,43063.41,267755.0,5418.48,33606.0,1382481.68,8074524.0,410601.45,2470702.0,1386998.28,8101804.0,0.0,0.0,0.13,635.0,0.0,0.0,26433.74,448982.0,349891.96,5786525.0,23723.46,396744.0,97800.06,1575736.0,79866.72,1374721.0,99378.31,1605235.0,20.51,3.43,1.45,6115.069824,6116.910156,6050.950195,6060.589844,4763800000.0,INDIA VIX,14.9,15.47,12.2,14.96,2025-02-13,-0.0024180518959479,-0.0002493954870259,0.0
NIFTY,2025-02-14,23096.45,23133.7,22774.85,22929.25,23344.45357142857,23250.225610313737,38.01060767461416,279.6668125451933,14.954719356869711,21.12383079470045,0.1612801967401916,-1.3924217791045903,-0.7239207757036287,3828.0,23271.0,43201.57,268975.0,3315.78,20039.0,2465948.27,14292429.0,305542.64,1867660.0,2457469.55,14244611.0,0.0,0.0,0.13,635.0,0.0,0.0,19862.69,330695.0,348941.92,5768609.0,18701.64,306323.0,72928.35,1119078.0,85068.03,1459766.0,76352.67,1180255.0,20.42,3.41,1.46,6114.629883,6127.470215,6107.620117,6115.52002,4335190000.0,INDIA VIX,14.96,15.68,14.36,15.02,2025-02-20,-0.0041759664364003,0.0044833729858917,6.0
